iter	MAPE
0	0.3313088418
1	0.3273651178
2	0.325734608
3	0.3235238145
4	0.3231928497
5	0.3231282087
6	0.3195266095
7	0.3191073346
8	0.3158837047
9	0.3154236799
10	0.3154236799
11	0.3148614066
12	0.3148249277
13	0.3148208683
14	0.3147786258
15	0.3144583076
16	0.3144583076
17	0.3144583076
18	0.3143757705
19	0.3143757705
20	0.3143757705
21	0.3143757705
22	0.3143757705
23	0.3143757705
24	0.3143757705
25	0.3143757705
26	0.3143757705
27	0.3143757705
28	0.3143757705
29	0.3143757705
30	0.3143757705
31	0.3143757705
32	0.3143757705
33	0.3143757705
34	0.3143757705
35	0.3143757705
36	0.3143757705
37	0.3143757705
38	0.3143757705
39	0.3143757705
40	0.3143757705
41	0.3143757705
42	0.3143757705
43	0.3143757705
44	0.3143757705
45	0.3143757705
46	0.3143757705
47	0.3143757705
48	0.3143757705
49	0.3143757705
50	0.3143757705
51	0.3143757705
52	0.3143757705
53	0.3143757705
54	0.3143757705
55	0.3143757705
56	0.3143757705
57	0.3143757705
58	0.3143757705
59	0.3143757705
60	0.3143757705
61	0.3143757705
62	0.3143757705
63	0.3143757705
64	0.3143757705
65	0.3143757705
66	0.3143757705
67	0.3143757705
68	0.3143757705
69	0.3143757705
70	0.3143757705
71	0.3143757705
72	0.3143757705
73	0.3143757705
74	0.3143757705
75	0.3143757705
76	0.3143757705
77	0.3143757705
78	0.3143757705
79	0.3143757705
80	0.3143757705
81	0.3143757705
82	0.3143757705
83	0.3143757705
84	0.3143757705
85	0.3143757705
86	0.3143757705
87	0.3143757705
88	0.3143757705
89	0.3143757705
90	0.3143757705
91	0.3143757705
92	0.3143757705
93	0.3143757705
94	0.3143757705
95	0.3143757705
96	0.3143757705
97	0.3143757705
98	0.3143757705
99	0.3143757705
100	0.3143757705
101	0.3143757705
102	0.3143757705
103	0.3143757705
104	0.3143757705
105	0.3143757705
106	0.3143757705
107	0.3143757705
108	0.3143757705
109	0.3143757705
110	0.3143757705
111	0.3143757705
112	0.3143757705
113	0.3143757705
114	0.3143757705
115	0.3143757705
116	0.3143757705
117	0.3143757705
118	0.3143757705
119	0.3143757705
120	0.3143757705
121	0.3143757705
122	0.3143757705
123	0.3143757705
124	0.3143757705
125	0.3143757705
126	0.3143757705
127	0.3143757705
128	0.3143757705
129	0.3143757705
130	0.3143757705
131	0.3143757705
132	0.3143757705
133	0.3143757705
134	0.3143757705
135	0.3143757705
136	0.3143757705
137	0.3143757705
138	0.3143757705
139	0.3143757705
140	0.3143757705
141	0.3143757705
142	0.3143757705
143	0.3143757705
144	0.3143757705
145	0.3143757705
146	0.3143757705
147	0.3143757705
148	0.3143757705
149	0.3143757705
150	0.3143757705
151	0.3143757705
152	0.3143757705
153	0.3143757705
154	0.3143757705
155	0.3143757705
156	0.3143757705
157	0.3143757705
158	0.3143757705
159	0.3143757705
160	0.3143757705
161	0.3143757705
162	0.3143757705
163	0.3143757705
164	0.3143757705
165	0.3143757705
166	0.3143757705
167	0.3143757705
168	0.3143757705
169	0.3143757705
170	0.3143757705
171	0.3143757705
172	0.3143757705
173	0.3143757705
174	0.3143757705
175	0.3143757705
176	0.3143757705
177	0.3143757705
178	0.3143757705
179	0.3143757705
180	0.3143757705
181	0.3143757705
182	0.3143757705
183	0.3143757705
184	0.3143757705
185	0.3143757705
186	0.3143757705
187	0.3143757705
188	0.3143757705
189	0.3143757705
190	0.3143757705
191	0.3143757705
192	0.3143757705
193	0.3143757705
194	0.3143757705
195	0.3143757705
196	0.3143757705
197	0.3143757705
198	0.3143757705
199	0.3143757705
200	0.3143757705
201	0.3143757705
202	0.3143757705
203	0.3143757705
204	0.3143757705
205	0.3143757705
206	0.3143757705
207	0.3143757705
208	0.3143757705
209	0.3143757705
210	0.3143757705
211	0.3143757705
212	0.3143757705
213	0.3143757705
214	0.3143757705
215	0.3143757705
216	0.3143757705
217	0.3143757705
218	0.3143757705
219	0.3143757705
220	0.3143757705
221	0.3143757705
222	0.3143757705
223	0.3143757705
224	0.3143757705
225	0.3143757705
226	0.3143757705
227	0.3143757705
228	0.3143757705
229	0.3143757705
230	0.3143757705
231	0.3143757705
232	0.3143757705
233	0.3143757705
234	0.3143757705
235	0.3143757705
236	0.3143757705
237	0.3143757705
238	0.3143757705
239	0.3143757705
240	0.3143757705
241	0.3143757705
242	0.3143757705
243	0.3143757705
244	0.3143757705
245	0.3143757705
246	0.3143757705
247	0.3143757705
248	0.3143757705
249	0.3143757705
250	0.3143757705
251	0.3143757705
252	0.3143757705
253	0.3143757705
254	0.3143757705
255	0.3143757705
256	0.3143757705
257	0.3143757705
258	0.3143757705
259	0.3143757705
260	0.3143757705
261	0.3143757705
262	0.3143757705
263	0.3143757705
264	0.3143757705
265	0.3143757705
266	0.3143757705
267	0.3143757705
268	0.3143757705
269	0.3143757705
270	0.3143757705
271	0.3143757705
272	0.3143757705
273	0.3143757705
274	0.3143757705
275	0.3143757705
276	0.3143757705
277	0.3143757705
278	0.3143757705
279	0.3143757705
280	0.3143757705
281	0.3143757705
282	0.3143757705
283	0.3143757705
284	0.3143757705
285	0.3143757705
286	0.3143757705
287	0.3143757705
288	0.3143757705
289	0.3143757705
290	0.3143757705
291	0.3143757705
292	0.3143757705
293	0.3143757705
294	0.3143757705
295	0.3143757705
296	0.3143757705
297	0.3143757705
298	0.3143757705
299	0.3143757705
300	0.3143757705
301	0.3143757705
302	0.3143757705
303	0.3143757705
304	0.3143757705
305	0.3143757705
306	0.3143757705
307	0.3143757705
308	0.3143757705
309	0.3143757705
310	0.3143757705
311	0.3143757705
312	0.3143757705
313	0.3143757705
314	0.3143757705
315	0.3143757705
316	0.3143757705
317	0.3143757705
318	0.3143757705
319	0.3143757705
320	0.3143757705
321	0.3143757705
322	0.3143757705
323	0.3143757705
324	0.3143757705
325	0.3143757705
326	0.3143757705
327	0.3143757705
328	0.3143757705
329	0.3143757705
330	0.3143757705
331	0.3143757705
332	0.3143757705
333	0.3143757705
334	0.3143757705
335	0.3143757705
336	0.3143757705
337	0.3143757705
338	0.3143757705
339	0.3143757705
340	0.3143757705
341	0.3143757705
342	0.3143757705
343	0.3143757705
344	0.3143757705
345	0.3143757705
346	0.3143757705
347	0.3143757705
348	0.3143757705
349	0.3143757705
350	0.3143757705
351	0.3143757705
352	0.3143757705
353	0.3143757705
354	0.3143757705
355	0.3143757705
356	0.3143757705
357	0.3143757705
358	0.3143757705
359	0.3143757705
360	0.3143757705
361	0.3143757705
362	0.3143757705
363	0.3143757705
364	0.3143757705
365	0.3143757705
366	0.3143757705
367	0.3143757705
368	0.3143757705
369	0.3143757705
370	0.3143757705
371	0.3143757705
372	0.3143757705
373	0.3143757705
374	0.3143757705
375	0.3143757705
376	0.3143757705
377	0.3143757705
378	0.3143757705
379	0.3143757705
380	0.3143757705
381	0.3143757705
382	0.3143757705
383	0.3143757705
384	0.3143757705
385	0.3143757705
386	0.3143757705
387	0.3143757705
388	0.3143757705
389	0.3143757705
390	0.3143757705
391	0.3143757705
392	0.3143757705
393	0.3143757705
394	0.3143757705
395	0.3143757705
396	0.3143757705
397	0.3143757705
398	0.3143757705
399	0.3143757705
400	0.3143757705
401	0.3143757705
402	0.3143757705
403	0.3143757705
404	0.3143757705
405	0.3143757705
406	0.3143757705
407	0.3143757705
408	0.3143757705
409	0.3143757705
410	0.3143757705
411	0.3143757705
412	0.3143757705
413	0.3143757705
414	0.3143757705
415	0.3143757705
416	0.3143757705
417	0.3143757705
