iter	Passed	Remaining
419	2399	54730
420	2404	54713
421	2410	54701
422	2415	54685
423	2420	54672
424	2426	54656
425	2431	54638
426	2436	54626
427	2441	54610
428	2447	54592
429	2452	54573
430	2457	54559
431	2462	54542
432	2467	54523
433	2472	54506
434	2478	54492
435	2483	54478
436	2488	54466
437	2494	54452
438	2499	54435
439	2504	54419
440	2509	54400
441	2514	54380
442	2519	54361
443	2524	54339
444	2529	54321
445	2534	54302
446	2540	54283
447	2545	54267
448	2551	54267
449	2556	54256
450	2561	54241
451	2567	54230
452	2572	54212
453	2577	54196
454	2582	54182
455	2588	54168
456	2593	54154
457	2598	54146
458	2604	54136
459	2609	54121
460	2615	54111
461	2620	54097
462	2625	54087
463	2630	54071
464	2636	54061
465	2642	54056
466	2647	54044
467	2652	54034
468	2658	54023
469	2664	54025
470	2669	54016
471	2675	54008
472	2681	54000
473	2686	53999
474	2692	53991
475	2697	53980
476	2703	53977
477	2709	53978
478	2715	53978
479	2721	53970
480	2726	53965
481	2732	53958
482	2738	53953
483	2743	53943
484	2749	53939
485	2755	53938
486	2761	53937
487	2766	53926
488	2771	53912
489	2777	53905
490	2783	53898
491	2788	53886
492	2794	53888
493	2800	53884
494	2805	53873
495	2811	53863
496	2816	53850
497	2821	53834
498	2826	53819
499	2831	53805
500	2837	53789
501	2842	53776
502	2847	53764
503	2853	53754
504	2858	53742
505	2863	53731
506	2880	53927
507	2885	53924
508	2891	53915
509	2896	53902
510	2902	53888
511	2907	53880
512	2912	53867
513	2918	53853
514	2923	53841
515	2928	53830
516	2934	53817
517	2939	53806
518	2944	53796
519	2950	53784
520	2955	53771
521	2960	53759
522	2966	53746
523	2971	53733
524	2976	53720
525	2981	53707
526	2986	53691
527	2992	53681
528	2997	53667
529	3002	53654
530	3008	53647
531	3013	53633
532	3019	53623
533	3024	53615
534	3030	53606
535	3035	53594
536	3040	53580
537	3045	53566
538	3051	53566
539	3057	53557
540	3062	53546
541	3067	53534
542	3073	53522
543	3078	53509
544	3083	53496
545	3088	53482
546	3094	53473
547	3099	53459
548	3104	53448
549	3110	53435
550	3115	53424
551	3120	53412
552	3125	53399
553	3131	53386
554	3136	53372
555	3141	53360
556	3146	53347
557	3152	53336
558	3157	53323
559	3162	53309
560	3167	53295
561	3172	53281
562	3178	53271
563	3183	53258
564	3188	53247
565	3193	53235
566	3199	53222
567	3204	53208
568	3209	53195
569	3214	53184
570	3219	53170
571	3225	53158
572	3230	53145
573	3235	53136
574	3241	53127
575	3246	53113
576	3251	53102
577	3256	53090
578	3262	53076
579	3267	53064
580	3272	53052
581	3277	53042
582	3283	53035
583	3288	53021
584	3293	53010
585	3299	53006
586	3305	53002
587	3311	52999
588	3316	52998
589	3322	52989
590	3328	52987
591	3334	52990
592	3340	52986
593	3346	52988
594	3351	52978
595	3357	52969
596	3362	52960
597	3368	52954
598	3373	52948
599	3379	52941
600	3384	52930
601	3390	52924
602	3395	52916
603	3401	52909
604	3406	52900
605	3411	52887
606	3417	52877
607	3422	52868
608	3427	52858
609	3433	52849
610	3438	52840
611	3444	52832
612	3449	52830
613	3455	52825
614	3460	52812
615	3466	52800
616	3471	52788
617	3476	52778
618	3481	52764
619	3486	52749
620	3492	52739
621	3497	52726
622	3502	52713
623	3507	52703
624	3512	52690
625	3517	52676
626	3522	52662
627	3528	52650
628	3533	52637
629	3538	52624
630	3543	52610
631	3548	52596
632	3553	52584
633	3558	52571
634	3564	52563
635	3569	52553
636	3574	52539
637	3579	52529
638	3585	52519
639	3590	52506
640	3595	52493
641	3600	52487
642	3606	52478
643	3611	52472
644	3617	52467
645	3623	52461
646	3628	52455
647	3634	52446
648	3639	52439
649	3644	52429
650	3650	52426
651	3656	52420
652	3661	52417
653	3667	52409
654	3672	52402
655	3678	52396
656	3683	52387
657	3689	52378
658	3694	52371
659	3700	52364
660	3705	52358
